Date,High,Low,Open,Close,Volume,Adj Close
2018-09-04,57.29499816894531,56.657501220703125,57.102500915527344,57.09000015258789,109560400.0,55.66532516479492
2018-09-05,57.41749954223633,56.275001525878906,57.247501373291016,56.717498779296875,133332000.0,55.302127838134766
2018-09-06,56.837501525878906,55.32500076293945,56.557498931884766,55.775001525878906,137160000.0,54.38314437866211
2018-09-07,56.342498779296875,55.1775016784668,55.462501525878906,55.32500076293945,150479200.0,53.944374084472656
2018-09-10,55.462501525878906,54.11750030517578,55.23749923706055,54.58250045776367,158066000.0,53.22039794921875
2018-09-11,56.07500076293945,54.13999938964844,54.502498626708984,55.962501525878906,142996000.0,54.56597137451172
2018-09-12,56.25,54.959999084472656,56.23500061035156,55.26750183105469,197114800.0,53.888309478759766
2018-09-13,57.087501525878906,55.64250183105469,55.880001068115234,56.602500915527344,166825600.0,55.18999099731445
2018-09-14,56.709999084472656,55.630001068115234,56.4375,55.959999084472656,127997200.0,54.56352615356445
2018-09-17,55.73749923706055,54.317501068115234,55.537498474121094,54.470001220703125,148780400.0,53.11071014404297
2018-09-18,55.462501525878906,54.279998779296875,54.4474983215332,54.560001373291016,126286800.0,53.198463439941406
2018-09-19,54.904998779296875,53.82500076293945,54.625,54.592498779296875,108495200.0,53.23014450073242
2018-09-20,55.56999969482422,54.787498474121094,55.060001373291016,55.00749969482422,106435200.0,53.63479995727539
2018-09-21,55.34000015258789,54.3224983215332,55.19499969482422,54.415000915527344,384986800.0,53.05708312988281
2018-09-24,55.314998626708984,54.157501220703125,54.20500183105469,55.1974983215332,110773600.0,53.82005310058594
2018-09-25,55.70500183105469,54.92499923706055,54.9375,55.54750061035156,98217600.0,54.161319732666016
2018-09-26,55.9375,54.939998626708984,55.25,55.10499954223633,95938800.0,53.7298583984375
2018-09-27,56.61000061035156,55.8849983215332,55.95500183105469,56.23749923706055,120724800.0,54.83409881591797
2018-09-28,56.459999084472656,56.005001068115234,56.1974983215332,56.435001373291016,91717600.0,55.02667236328125
2018-10-01,57.35499954223633,56.587501525878906,56.98749923706055,56.814998626708984,94403200.0,55.397186279296875
2018-10-02,57.5,56.657501220703125,56.8125,57.31999969482422,99152800.0,55.88958740234375
2018-10-03,58.36750030517578,57.44499969482422,57.51250076293945,58.01750183105469,114619200.0,56.569679260253906
2018-10-04,58.087501525878906,56.682498931884766,57.69499969482422,56.997501373291016,128168000.0,55.57513427734375
2018-10-05,57.102500915527344,55.14500045776367,56.9900016784668,56.0724983215332,134322000.0,54.673213958740234
2018-10-08,56.20000076293945,55.04999923706055,55.5525016784668,55.942501068115234,118655600.0,54.546470642089844
2018-10-09,56.817501068115234,55.5625,55.90999984741211,56.717498779296875,107564000.0,55.302127838134766
2018-10-10,56.587501525878906,54.01250076293945,56.3650016784668,54.09000015258789,167962400.0,52.74018478393555
2018-10-11,54.875,53.08000183105469,53.630001068115234,53.61249923706055,212497600.0,52.27460861206055
2018-10-12,55.720001220703125,54.209999084472656,55.10499954223633,55.52750015258789,161351600.0,54.14181900024414
2018-10-15,55.45750045776367,54.317501068115234,55.290000915527344,54.34000015258789,123164000.0,52.98394775390625
2018-10-16,55.747501373291016,54.189998626708984,54.73249816894531,55.537498474121094,116736000.0,54.15156555175781
2018-10-17,55.65999984741211,54.834999084472656,55.57500076293945,55.29750061035156,91541600.0,53.91756057739258
2018-10-18,54.935001373291016,53.25,54.46500015258789,54.005001068115234,130325200.0,52.65730667114258
2018-10-19,55.314998626708984,54.35749816894531,54.51499938964844,54.82749938964844,132314800.0,53.45928192138672
2018-10-22,55.84000015258789,54.73500061035156,54.9474983215332,55.162498474121094,115168400.0,53.78592300415039
2018-10-23,55.8125,53.67499923706055,53.95750045776367,55.682498931884766,155071200.0,54.29294967651367
2018-10-24,56.057498931884766,53.6349983215332,55.650001525878906,53.772499084472656,163702000.0,52.43061447143555
2018-10-25,55.345001220703125,54.1875,54.4275016784668,54.95000076293945,119423200.0,53.578731536865234
2018-10-26,55.04750061035156,53.16749954223633,53.974998474121094,54.07500076293945,189033600.0,52.72556686401367
2018-10-29,54.92250061035156,51.522499084472656,54.79750061035156,53.060001373291016,183742000.0,51.73589324951172
2018-10-30,53.79499816894531,52.317501068115234,52.787498474121094,53.32500076293945,146640000.0,51.99428176879883
2018-10-31,55.11249923706055,54.154998779296875,54.220001220703125,54.71500015258789,153435600.0,53.34959411621094
2018-11-01,55.59000015258789,54.20249938964844,54.76250076293945,55.55500030517578,233292800.0,54.16862869262695
2018-11-02,53.412498474121094,51.35749816894531,52.38750076293945,51.869998931884766,365314800.0,50.57558822631836
2018-11-05,51.09749984741211,49.54249954223633,51.07500076293945,50.397499084472656,264654800.0,49.13983154296875
2018-11-06,51.18000030517578,50.42250061035156,50.47999954223633,50.942501068115234,127531600.0,49.67123794555664
2018-11-07,52.51499938964844,51.032501220703125,51.49250030517578,52.48749923706055,133697600.0,51.177677154541016
2018-11-08,52.529998779296875,51.6875,52.494998931884766,52.122501373291016,101450400.0,50.99911117553711
2018-11-09,51.502498626708984,50.5625,51.38750076293945,51.11750030517578,137463200.0,50.015769958496094
2018-11-12,49.962501525878906,48.4474983215332,49.75,48.54249954223633,204542000.0,47.49626922607422
2018-11-13,49.29499816894531,47.86249923706055,47.907501220703125,48.057498931884766,187531600.0,47.021724700927734
2018-11-14,48.619998931884766,46.48249816894531,48.474998474121094,46.70000076293945,243204000.0,45.693485260009766
2018-11-15,47.99250030517578,46.724998474121094,47.09749984741211,47.852500915527344,185915200.0,46.821144104003906
2018-11-16,48.74250030517578,47.3650016784668,47.625,48.38249969482422,147713200.0,47.3397216796875
2018-11-19,47.67499923706055,46.247501373291016,47.5,46.46500015258789,167701200.0,45.46355056762695
2018-11-20,45.36750030517578,43.877498626708984,44.592498779296875,44.244998931884766,271300800.0,43.29139709472656
2018-11-21,45.067501068115234,44.13750076293945,44.932498931884766,44.19499969482422,124496800.0,43.24247360229492
2018-11-23,44.150001525878906,43.025001525878906,43.73500061035156,43.0724983215332,94496000.0,42.1441650390625
2018-11-26,43.73749923706055,42.564998626708984,43.560001373291016,43.654998779296875,179994000.0,42.714111328125
2018-11-27,43.692501068115234,42.720001220703125,42.877498626708984,43.560001373291016,165549600.0,42.62116241455078
